id,name,proposal_count,git_repo
PRJ-20250416-001,todo-list,11,https://github.com/YeLuo45/todo-list
PRJ-20250416-002,game-1024,6,https://github.com/YeLuo45/game-1024
PRJ-20250418-003,harness-desktop,3,https://github.com/YeLuo45/harness-desktop
PRJ-20260412-008,ai-subscription,19,https://github.com/YeLuo45/ai-subscription
PRJ-20260412-009,ai-stock-simulation,6,https://github.com/YeLuo45/ai-stock-simulation
PRJ-20260417-001,prj-proposals-manager,3,https://github.com/YeLuo45/prj-proposals-manager
PRJ-20260417-002,android-hello,20,https://github.com/YeLuo45/android-hello
PRJ-20260418-001,monopoly3d,1,https://github.com/YeLuo45/monopoly3d
PRJ-20260418-002,creative-drawing-board,40,https://github.com/YeLuo45/creative-drawing-board
PRJ-20260418-004,future-little-leaders,3,https://github.com/YeLuo45/future-little-leaders
PRJ-20260418-005,todo-app,1,https://github.com/YeLuo45/todo-app
PRJ-20260419-001,temple-run,3,https://github.com/YeLuo45/temple-run
PRJ-20260419-002,tank-battle,1,https://github.com/YeLuo45/tank-battle
PRJ-20260419-003,dont-step-white,13,https://github.com/YeLuo45/dont-step-white
PRJ-20260419-005,TradingAgents-CN,2,https://github.com/YeLuo45/TradingAgents-CN
PRJ-20260420-001,snake-battle,4,https://github.com/YeLuo45/snake-battle
PRJ-20260420-002,pixel-pal-web,4,
PRJ-20260421-001,dbg卡牌游戏-v6-遗物-神器系统,25,https://github.com/YeLuo45/card-game-prototype
PRJ-20260421-003,personalClaw,1,https://github.com/YeLuo45/personalClaw
PRJ-20260422-001,ai-novel-assistant,6,https://github.com/YeLuo45/ai-novel-assistant
PRJ-20260423-001,room-escape-puzzle,1,https://github.com/YeLuo45/room-escape-puzzle
PRJ-20260423-002,little-garden,1,https://github.com/YeLuo45/little-garden
PRJ-20260423-005,hermes-agent-collab,3,https://github.com/YeLuo45/hermes-agent-collab
PRJ-20260424-001,OpenMAIC,1,https://github.com/YeLuo45/OpenMAIC
PRJ-20260424-004,match3-puzzle,1,https://github.com/YeLuo45/match3-puzzle
PRJ-20260426-003,calculator-app.git,1,https://github.com/YeLuo45/calculator-app.git
PRJ-20260427-001,preschool-puzzle,2,https://github.com/YeLuo45/preschool-puzzle
PRJ-20260428-001,whack-a-mole-3d,6,https://github.com/YeLuo45/whack-a-mole-3d
PRJ-20260428-002,flight-chess-3d,8,https://github.com/YeLuo45/flight-chess-3d
PRJ-20260430-001,tower-baby-guard,1,https://github.com/YeLuo45/tower-baby-guard
PRJ-20260430-002,doc-editor,1,https://github.com/YeLuo45/doc-editor
PRJ-20260511-003,astrbot-design,1,https://github.com/Sonic-Yoda/AstrBot
PRJ-20260511-004,autoagent-design,1,https://github.com/SINOG2/AutoAgent
PRJ-20260511-005,bmad-method-design,1,https://github.com/BMAD/BMAD-METHOD
PRJ-20260511-006,chatdev-design,1,https://github.com/OpenBMB/ChatDev
PRJ-20260511-007,deepcode-design,1,https://github.com/HKUDS/DeepCode
PRJ-20260511-008,deepseek-coder-design,1,https://github.com/deepseek-ai/DeepSeek-Coder
p-20260508-004,p-20260508-004,1,
p-20260509-002,p-20260509-002,1,
p-20260509-005,p-20260509-005,1,
p-20260509-006,p-20260509-006,1,
p-20260509-007,p-20260509-007,1,
p-20260509-008,p-20260509-008,1,
p-20260509-009,p-20260509-009,1,
p-20260509-010,p-20260509-010,1,
p-20260509-011,p-20260509-011,1,
p-20260509-012,p-20260509-012,1,
p-20260509-013,p-20260509-013,1,
p-20260509-014,p-20260509-014,1,
p-20260509-015,p-20260509-015,1,
p-20260509-016,p-20260509-016,1,
p-20260509-017,p-20260509-017,1,
p-20260509-018,p-20260509-018,1,
p-20260509-019,p-20260509-019,1,
p-20260509-020,p-20260509-020,1,
p-20260509-021,p-20260509-021,1,
p-20260509-022,p-20260509-022,1,
p-20260512-001,p-20260512-001,1,
p-20260512-002,p-20260512-002,1,
p-20260512-004,p-20260512-004,1,
p-20260512-005,p-20260512-005,1,
p-20260512-006,p-20260512-006,1,
p-20260512-007,p-20260512-007,1,
p-20260512-008,p-20260512-008,1,
p-20260512-009,p-20260512-009,1,
p-20260512-010,p-20260512-010,1,
p-20260512-011,p-20260512-011,1,
