id,title,owner,status,project_id,project_name,stage,prd_path,tech_solution_path,project_path,git_repo,deployment_url,prd_confirmation,tech_expectations,acceptance,last_update,engine,target,game_type,notes
P-20260506-003,ai-subscription,,active,`ai-subscription`06,ai-subscription,,,,,,,boss-selected-P0,pending,accepted,2026-05-,,,,提案
P-20260505-012,future-little-leaders,,in_dev,future-little-leaders,future-little-leaders,,,,,,,confirmed,pending,,2026-05-05,,,,提案
P-20260506-007,ai-subscripti,,active,ai-subscription`on,ai-subscripti,,,,,,,boss-selected-P2,pending,accepted,2026-05-06,,,,提案
P-20260506-010,pixel-pal-web,,in_dev,PRJ-20260420-002,pixel-pal-web,,,,,,,confirmed,,pending,2026-05-06,,,,提案
P-20260507-001,pixel-pal-web,,active,PRJ-20260420-002,pixel-pal-web,,,,,,,,,accepted,2026-05-07,,,,提案
P-20260507-002,pixel-pal-web,,active,PRJ-20260420-002,pixel-pal-web,,,,,,,,,accepted,2026-05-07,,,,提案
P-20260507-003,pixel-pal-web,,active,PRJ-20260420-002,pixel-pal-web,,,,,,,,,accepted,2026-05-07,,,,提案
P-20260508-003,pixel-pal-web,,archived,PRJ-20260420-002,pixel-pal-web,,,,,,,,,active,2026-05-08,,,,提案
P-20260508-004,pixel-pal-web,,archived,PRJ-20260420-002,pixel-pal-web,,,,,,,,,active,2026-05-08,,,,提案
P-20260509-001,pixel-pal-web,,active,PRJ-20260420-002,pixel-pal-web,,,,,,,confirmed,,accepted,2026-05-09,,,,提案
P-20260514-001,pixel-pal-web,,in_dev,PRJ-20260420-002,pixel-pal-web,,,,,,,confirmed,pending,pending,2026-05-14,,,,提案
P-20260514-002,pixel-pal-web,,in_dev,PRJ-20260420-002,pixel-pal-web,,,,,,,confirmed,pending,pending,2026-05-14,,,,提案
P-20260507-006,ai-creator-h5,,archived,PRJ-20260419-007,ai-creator-h5,,,,,,,,,active,2026-05-07,,,,提案
P-20260508-001,ai-creator-h5,,archived,PRJ-20260419-007,ai-creator-h5,,,,,,,,,active,2026-05-08,,,,提案
P-20260508-002,ai-creator-h5,,archived,PRJ-20260419-007,ai-creator-h5,,,,,,,,,active,2026-05-08,,,,Web;PWA
P-20260512-001,prj-proposals-manager,,active,prj-proposals-manager,prj-proposals-manager,,,,,,,,,accepted,2026-05-12,,,,提案
P-20260512-002,prj-proposals-manager,,active,prj-proposals-manager,prj-proposals-manager,,,,,,,,,accepted,2026-05-12,,,,提案
P-20260512-003,prj-proposals-manager,,active,prj-proposals-manager,prj-proposals-manager,,,,,,,,,accepted,2026-05-12,,,,提案
P-20260512-004,prj-proposals-manager,,active,prj-proposals-manager,prj-proposals-manager,,,,,,,,,accepted,2026-05-12,,,,提案
P-20260512-005,prj-proposals-manager,,active,prj-proposals-manager,prj-proposals-manager,,,,,,,,,accepted,2026-05-12,,,,提案
P-20260512-006,prj-proposals-manager,,active,prj-proposals-manager,prj-proposals-manager,,,,,,,,,accepted,2026-05-12,,,,提案
P-20260512-007,prj-proposals-manager,,active,prj-proposals-manager,prj-proposals-manager,,,,,,,,,accepted,2026-05-12,,,,提案
P-20260514-001,prj-proposals-manager,,active,prj-proposals-manager,prj-proposals-manager,,,,,,,,,accepted,2026-05-13,,,,提案
P-20260512-003,cult,,archived,`card-game-prototype`ivation-simulator,cult,,,,,,,pending,pending,pending,2026-05-12,,,,提案
P-20260502-017,proposals,,in_dev,`ai-subscription`subscription-大模型调用层升级-llm-design-dev,proposals,,,,,,(待部署),timeout-approved,timeout-approved,-,2026-05-13,,,,提案
P-20260513-002,astrbot-design,,in_dev,`astrbot-design`ent-Collaboration,astrbot-design,,,,,,,`confirmed` (boss selected: b=async event-driven),confirmed,pending,2026-05-13,,,,提案
P-20260513-008,card-game-prototype,,active,`card-game-prototype` V64 — 战斗系统深化,card-game-prototype,,,,,,,,,accepted,2026-05-13,,,,提案
P-20260513-003,github-repo-manager,,active,agent-记忆系统-跨-session-llm-决策记忆`pectations`: `timeout-approved,github-repo-manager,,,,,,,,,accepted,2026-05-13,,,,提案
P-20260513-002,agent-记忆系统-跨-session-llm-决策记忆,,in_dev,agent-记忆系统-跨-session-llm-决策记忆,agent-记忆系统-跨-session-llm-决策记忆,,,,,,,timeout-approved,timeout-approved,pending,2026-05-13,,,,提案
P-20260513-006,ai-novel-assistant,,active,ai-novel-assistant,ai-novel-assistant,,,,,,,,,delivered,2026-05-14,,,,提案
P-20260514-002,trending-dashboard-社交协作功能,,active,trending-dashboard,trending-dashboard-社交协作功能,,,,,,,,,accepted,2026-05-14,,,,提案
P-20260514-005,trending-dashboard-数据增强,,active,trending-dashboard,trending-dashboard-社交协作功能,,,,,,,,,accepted,2026-05-14,,,,提案
P-20260514-006,trending-dashboard-个性化智能,,active,trending-dashboard,trending-dashboard-社交协作功能,,,,,,,,,accepted,2026-05-14,,,,提案
P-20260514-007,trending-dashboard-社交深化,,active,trending-dashboard,trending-dashboard-社交协作功能,,,,,,,,,accepted,2026-05-14,,,,提案
P-20260514-008,trending-dashboard-高级筛选,,active,trending-dashboard,trending-dashboard-社交协作功能,,,,,,,,,accepted,2026-05-14,,,,提案
P-20260514-009,trending-dashboard-体验优化,,active,trending-dashboard,trending-dashboard-社交协作功能,,,,,,,,,accepted,2026-05-14,,,,提案
P-20260514-010,trending-dashboard-性能与扩展,,archived,trending-dashboard,trending-dashboard-社交协作功能,,,,,,,pending,pending,,2026-05-14,,,,提案
P-20260514-011,shannon-design-文档站,,active,shannon-design,shannon-design-文档站,,,,,,,confirmed,confirmed,accepted,2026-05-14,,,,提案
